text	curie	name	predicate	provenance	source
GOCC_COPI_COATED_VESICLE	msigdb:M17353	GOCC_COPI_COATED_VESICLE	rdfs:label		msigdb
GOCC_PERICENTRIC_HETEROCHROMATIN	msigdb:M17356	GOCC_PERICENTRIC_HETEROCHROMATIN	rdfs:label		msigdb
GOCC_GLIAL_CELL_PROJECTION	msigdb:M17357	GOCC_GLIAL_CELL_PROJECTION	rdfs:label		msigdb
GOCC_SPECIFIC_GRANULE	msigdb:M17358	GOCC_SPECIFIC_GRANULE	rdfs:label		msigdb
XU_HGF_TARGETS_INDUCED_BY_AKT1_48HR_UP	msigdb:M17359	XU_HGF_TARGETS_INDUCED_BY_AKT1_48HR_UP	rdfs:label	pubmed:17099727	msigdb
GAVIN_FOXP3_TARGETS_CLUSTER_P7	msigdb:M1736	GAVIN_FOXP3_TARGETS_CLUSTER_P7	rdfs:label	pubmed:17220874	msigdb
MEF2_03	msigdb:M17361	MEF2_03	rdfs:label		msigdb
GOCC_ENDOPLASMIC_RETICULUM_LUMEN	msigdb:M17362	GOCC_ENDOPLASMIC_RETICULUM_LUMEN	rdfs:label		msigdb
GOCC_LATERAL_PLASMA_MEMBRANE	msigdb:M17364	GOCC_LATERAL_PLASMA_MEMBRANE	rdfs:label		msigdb
MORF_PTEN	msigdb:M17366	MORF_PTEN	rdfs:label		msigdb
GOCC_EXTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE	msigdb:M17367	GOCC_EXTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE	rdfs:label		msigdb
MORF_RFC1	msigdb:M17368	MORF_RFC1	rdfs:label		msigdb
GOCC_PLATELET_DENSE_GRANULE_LUMEN	msigdb:M17369	GOCC_PLATELET_DENSE_GRANULE_LUMEN	rdfs:label		msigdb
GAVIN_PDE3B_TARGETS	msigdb:M1737	GAVIN_PDE3B_TARGETS	rdfs:label	pubmed:17220874	msigdb
BIOCARTA_RANMS_PATHWAY	msigdb:M17370	BIOCARTA_RANMS_PATHWAY	rdfs:label		msigdb
LEE_LIVER_CANCER_MYC_TGFA_DN	msigdb:M17372	LEE_LIVER_CANCER_MYC_TGFA_DN	rdfs:label	pubmed:15565109	msigdb
PAX6_01	msigdb:M17373	PAX6_01	rdfs:label		msigdb
SASAKI_TARGETS_OF_TP73_AND_TP63	msigdb:M17374	SASAKI_TARGETS_OF_TP73_AND_TP63	rdfs:label	pubmed:15856012	msigdb
MODULE_107	msigdb:M17376	MODULE_107	rdfs:label		msigdb
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	msigdb:M17377	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	rdfs:label		msigdb
AHR_Q5	msigdb:M17378	AHR_Q5	rdfs:label		msigdb
GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	msigdb:M17379	GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	rdfs:label		msigdb
GOCC_DNA_REPAIR_COMPLEX	msigdb:M17380	GOCC_DNA_REPAIR_COMPLEX	rdfs:label		msigdb
GOCC_CLATHRIN_VESICLE_COAT	msigdb:M17381	GOCC_CLATHRIN_VESICLE_COAT	rdfs:label		msigdb
GOCC_ESCRT_COMPLEX	msigdb:M17383	GOCC_ESCRT_COMPLEX	rdfs:label		msigdb
GOCC_CILIARY_TRANSITION_ZONE	msigdb:M17385	GOCC_CILIARY_TRANSITION_ZONE	rdfs:label		msigdb
REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY	msigdb:M17386	REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY	rdfs:label		msigdb
XU_GH1_EXOGENOUS_TARGETS_DN	msigdb:M17387	XU_GH1_EXOGENOUS_TARGETS_DN	rdfs:label	pubmed:15845533	msigdb
GOCC_U5_SNRNP	msigdb:M17388	GOCC_U5_SNRNP	rdfs:label		msigdb
GOCC_ENDOCYTIC_VESICLE_LUMEN	msigdb:M17389	GOCC_ENDOCYTIC_VESICLE_LUMEN	rdfs:label		msigdb
GAVIN_IL2_RESPONSIVE_FOXP3_TARGETS_UP	msigdb:M1739	GAVIN_IL2_RESPONSIVE_FOXP3_TARGETS_UP	rdfs:label	pubmed:17220874	msigdb
GOCC_HISTONE_METHYLTRANSFERASE_COMPLEX	msigdb:M17390	GOCC_HISTONE_METHYLTRANSFERASE_COMPLEX	rdfs:label		msigdb
GOCC_MICROTUBULE_PLUS_END	msigdb:M17391	GOCC_MICROTUBULE_PLUS_END	rdfs:label		msigdb
AGCYRWTTC_UNKNOWN	msigdb:M17392	AGCYRWTTC_UNKNOWN	rdfs:label	pubmed:15735639	msigdb
MODULE_267	msigdb:M17393	MODULE_267	rdfs:label		msigdb
KEGG_LIMONENE_AND_PINENE_DEGRADATION	msigdb:M17395	KEGG_LIMONENE_AND_PINENE_DEGRADATION	rdfs:label		msigdb
GOCC_SAGA_TYPE_COMPLEX	msigdb:M17396	GOCC_SAGA_TYPE_COMPLEX	rdfs:label		msigdb
GOCC_CELL_DIVISION_SITE	msigdb:M17397	GOCC_CELL_DIVISION_SITE	rdfs:label		msigdb
PID_UPA_UPAR_PATHWAY	msigdb:M174	PID_UPA_UPAR_PATHWAY	rdfs:label	pubmed:18832364	msigdb
GAVIN_IL2_RESPONSIVE_FOXP3_TARGETS_DN	msigdb:M1740	GAVIN_IL2_RESPONSIVE_FOXP3_TARGETS_DN	rdfs:label	pubmed:17220874	msigdb
BIOCARTA_ALK_PATHWAY	msigdb:M17400	BIOCARTA_ALK_PATHWAY	rdfs:label		msigdb
GOCC_PRC1_COMPLEX	msigdb:M17402	GOCC_PRC1_COMPLEX	rdfs:label		msigdb
BIOCARTA_CYTOKINE_PATHWAY	msigdb:M17406	BIOCARTA_CYTOKINE_PATHWAY	rdfs:label		msigdb
GOCC_SYNAPSE	msigdb:M17408	GOCC_SYNAPSE	rdfs:label		msigdb
GOCC_CHLORIDE_CHANNEL_COMPLEX	msigdb:M17409	GOCC_CHLORIDE_CHANNEL_COMPLEX	rdfs:label		msigdb
ZHENG_BOUND_BY_FOXP3	msigdb:M1741	ZHENG_BOUND_BY_FOXP3	rdfs:label	pubmed:17237761	msigdb
GOCC_MICROBODY	msigdb:M17410	GOCC_MICROBODY	rdfs:label		msigdb
KEGG_JAK_STAT_SIGNALING_PATHWAY	msigdb:M17411	KEGG_JAK_STAT_SIGNALING_PATHWAY	rdfs:label		msigdb
GOCC_CLATHRIN_COAT_OF_COATED_PIT	msigdb:M17412	GOCC_CLATHRIN_COAT_OF_COATED_PIT	rdfs:label		msigdb
GOCC_SIN3_TYPE_COMPLEX	msigdb:M17413	GOCC_SIN3_TYPE_COMPLEX	rdfs:label		msigdb
GOCC_POSTSYNAPTIC_MEMBRANE	msigdb:M17414	GOCC_POSTSYNAPTIC_MEMBRANE	rdfs:label		msigdb
GOCC_SMALL_SUBUNIT_PROCESSOME	msigdb:M17415	GOCC_SMALL_SUBUNIT_PROCESSOME	rdfs:label		msigdb
GOCC_RUFFLE_MEMBRANE	msigdb:M17416	GOCC_RUFFLE_MEMBRANE	rdfs:label		msigdb
GOCC_CELL_TRAILING_EDGE	msigdb:M17418	GOCC_CELL_TRAILING_EDGE	rdfs:label		msigdb
GOCC_CATION_CHANNEL_COMPLEX	msigdb:M17419	GOCC_CATION_CHANNEL_COMPLEX	rdfs:label		msigdb
MARSON_BOUND_BY_FOXP3_STIMULATED	msigdb:M1742	MARSON_BOUND_BY_FOXP3_STIMULATED	rdfs:label	pubmed:17237765	msigdb
WGGAATGY_TEF1_Q6	msigdb:M17420	WGGAATGY_TEF1_Q6	rdfs:label	pubmed:15735639	msigdb
DACOSTA_LOW_DOSE_UV_RESPONSE_VIA_ERCC3_XPCS_UP	msigdb:M17421	DACOSTA_LOW_DOSE_UV_RESPONSE_VIA_ERCC3_XPCS_UP	rdfs:label	pubmed:15608684	msigdb
GOCC_MLL1_2_COMPLEX	msigdb:M17422	GOCC_MLL1_2_COMPLEX	rdfs:label		msigdb
LAIHO_COLORECTAL_CANCER_SERRATED_DN	msigdb:M17423	LAIHO_COLORECTAL_CANCER_SERRATED_DN	rdfs:label	pubmed:16819509	msigdb
NAKAMURA_ALVEOLAR_EPITHELIUM	msigdb:M17424	NAKAMURA_ALVEOLAR_EPITHELIUM	rdfs:label	pubmed:16491115	msigdb
GOCC_METHYLTRANSFERASE_COMPLEX	msigdb:M17425	GOCC_METHYLTRANSFERASE_COMPLEX	rdfs:label		msigdb
GCGSCMNTTT_UNKNOWN	msigdb:M17426	GCGSCMNTTT_UNKNOWN	rdfs:label	pubmed:15735639	msigdb
GAL_LEUKEMIC_STEM_CELL_UP	msigdb:M17428	GAL_LEUKEMIC_STEM_CELL_UP	rdfs:label	pubmed:17039238	msigdb
MARSON_BOUND_BY_FOXP3_UNSTIMULATED	msigdb:M1743	MARSON_BOUND_BY_FOXP3_UNSTIMULATED	rdfs:label	pubmed:17237765	msigdb
chr22q13	msigdb:M17432	chr22q13	rdfs:label		msigdb
LIN_APC_TARGETS	msigdb:M17434	LIN_APC_TARGETS	rdfs:label	pubmed:11522623	msigdb
GOCC_N_TERMINAL_PROTEIN_ACETYLTRANSFERASE_COMPLEX	msigdb:M17435	GOCC_N_TERMINAL_PROTEIN_ACETYLTRANSFERASE_COMPLEX	rdfs:label		msigdb
MARSON_BOUND_BY_E2F4_UNSTIMULATED	msigdb:M1744	MARSON_BOUND_BY_E2F4_UNSTIMULATED	rdfs:label	pubmed:17237765	msigdb
GOCC_SMOOTH_ENDOPLASMIC_RETICULUM	msigdb:M17440	GOCC_SMOOTH_ENDOPLASMIC_RETICULUM	rdfs:label		msigdb
GOCC_ATPASE_COMPLEX	msigdb:M17442	GOCC_ATPASE_COMPLEX	rdfs:label		msigdb
GOCC_NUCLEAR_INNER_MEMBRANE	msigdb:M17443	GOCC_NUCLEAR_INNER_MEMBRANE	rdfs:label		msigdb
GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	msigdb:M17444	GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	rdfs:label		msigdb
GOCC_VACUOLAR_LUMEN	msigdb:M17446	GOCC_VACUOLAR_LUMEN	rdfs:label		msigdb
GOCC_LAMELLIPODIUM_MEMBRANE	msigdb:M17447	GOCC_LAMELLIPODIUM_MEMBRANE	rdfs:label		msigdb
MODULE_363	msigdb:M17449	MODULE_363	rdfs:label		msigdb
MARSON_FOXP3_CORE_DIRECT_TARGETS	msigdb:M1745	MARSON_FOXP3_CORE_DIRECT_TARGETS	rdfs:label	pubmed:17237765	msigdb
LIU_SOX4_TARGETS_UP	msigdb:M17450	LIU_SOX4_TARGETS_UP	rdfs:label	pubmed:16618720	msigdb
GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE	msigdb:M17451	GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE	rdfs:label		msigdb
GOCC_SPINDLE_MIDZONE	msigdb:M17452	GOCC_SPINDLE_MIDZONE	rdfs:label		msigdb
GOCC_PRESYNAPTIC_MEMBRANE	msigdb:M17453	GOCC_PRESYNAPTIC_MEMBRANE	rdfs:label		msigdb
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	msigdb:M17454	MASSARWEH_TAMOXIFEN_RESISTANCE_UP	rdfs:label	pubmed:18245484	msigdb
CALVET_IRINOTECAN_SENSITIVE_VS_RESISTANT_UP	msigdb:M17456	CALVET_IRINOTECAN_SENSITIVE_VS_RESISTANT_UP	rdfs:label	pubmed:16501609	msigdb
GOCC_XY_BODY	msigdb:M17457	GOCC_XY_BODY	rdfs:label		msigdb
ZHENG_FOXP3_TARGETS_IN_THYMUS_UP	msigdb:M1746	ZHENG_FOXP3_TARGETS_IN_THYMUS_UP	rdfs:label	pubmed:17237761	msigdb
GOCC_COP9_SIGNALOSOME	msigdb:M17460	GOCC_COP9_SIGNALOSOME	rdfs:label		msigdb
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	msigdb:M17461	GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	rdfs:label		msigdb
GOCC_BLOC_COMPLEX	msigdb:M17463	GOCC_BLOC_COMPLEX	rdfs:label		msigdb
GOCC_BETA_CATENIN_DESTRUCTION_COMPLEX	msigdb:M17464	GOCC_BETA_CATENIN_DESTRUCTION_COMPLEX	rdfs:label		msigdb
SANA_TNF_SIGNALING_UP	msigdb:M17466	SANA_TNF_SIGNALING_UP	rdfs:label	pubmed:15749026	msigdb
GOCC_CATALYTIC_COMPLEX	msigdb:M17467	GOCC_CATALYTIC_COMPLEX	rdfs:label		msigdb
GOCC_FILOPODIUM_TIP	msigdb:M17468	GOCC_FILOPODIUM_TIP	rdfs:label		msigdb
GOCC_MISMATCH_REPAIR_COMPLEX	msigdb:M17469	GOCC_MISMATCH_REPAIR_COMPLEX	rdfs:label		msigdb
ZHENG_FOXP3_TARGETS_IN_THYMUS_DN	msigdb:M1747	ZHENG_FOXP3_TARGETS_IN_THYMUS_DN	rdfs:label	pubmed:17237761	msigdb
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	msigdb:M17471	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	rdfs:label	pubmed:16707453	msigdb
GOCC_INTERSTITIAL_MATRIX	msigdb:M17473	GOCC_INTERSTITIAL_MATRIX	rdfs:label		msigdb
GOCC_CYTOPLASMIC_DYNEIN_COMPLEX	msigdb:M17475	GOCC_CYTOPLASMIC_DYNEIN_COMPLEX	rdfs:label		msigdb
GOCC_ENDOLYSOSOME_MEMBRANE	msigdb:M17477	GOCC_ENDOLYSOSOME_MEMBRANE	rdfs:label		msigdb
GOCC_PRESPLICEOSOME	msigdb:M17478	GOCC_PRESPLICEOSOME	rdfs:label		msigdb
ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_UP	msigdb:M1748	ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_UP	rdfs:label	pubmed:17237761	msigdb
GOBP_FEEDING_BEHAVIOR	msigdb:M17480	GOBP_FEEDING_BEHAVIOR	rdfs:label		msigdb
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_7	msigdb:M17481	YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_7	rdfs:label	pubmed:12554760	msigdb
GOCC_SPERM_PRINCIPAL_PIECE	msigdb:M17483	GOCC_SPERM_PRINCIPAL_PIECE	rdfs:label		msigdb
GOCC_CATALYTIC_STEP_2_SPLICEOSOME	msigdb:M17484	GOCC_CATALYTIC_STEP_2_SPLICEOSOME	rdfs:label		msigdb
GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	msigdb:M17485	GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	rdfs:label		msigdb
RIGGINS_TAMOXIFEN_RESISTANCE_UP	msigdb:M17487	RIGGINS_TAMOXIFEN_RESISTANCE_UP	rdfs:label	pubmed:18974135	msigdb
KEGG_VEGF_SIGNALING_PATHWAY	msigdb:M1749	KEGG_VEGF_SIGNALING_PATHWAY	rdfs:label		msigdb
MORF_MYST2	msigdb:M17492	MORF_MYST2	rdfs:label		msigdb
GOCC_HEMOGLOBIN_COMPLEX	msigdb:M17493	GOCC_HEMOGLOBIN_COMPLEX	rdfs:label		msigdb
GOCC_DENDRITE_MEMBRANE	msigdb:M17494	GOCC_DENDRITE_MEMBRANE	rdfs:label		msigdb
LEE_RECENT_THYMIC_EMIGRANT	msigdb:M17496	LEE_RECENT_THYMIC_EMIGRANT	rdfs:label	pubmed:15210650	msigdb
GOCC_PRP19_COMPLEX	msigdb:M17498	GOCC_PRP19_COMPLEX	rdfs:label		msigdb
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	msigdb:M17499	GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	rdfs:label		msigdb
PID_ERBB2_ERBB3_PATHWAY	msigdb:M175	PID_ERBB2_ERBB3_PATHWAY	rdfs:label	pubmed:18832364	msigdb
CALVET_IRINOTECAN_SENSITIVE_VS_REVERTED_UP	msigdb:M1750	CALVET_IRINOTECAN_SENSITIVE_VS_REVERTED_UP	rdfs:label	pubmed:16501609	msigdb
CHESLER_BRAIN_QTL_CIS	msigdb:M17500	CHESLER_BRAIN_QTL_CIS	rdfs:label	pubmed:15711545	msigdb
GOCC_TRICARBOXYLIC_ACID_CYCLE_HETEROMERIC_ENZYME_COMPLEX	msigdb:M17501	GOCC_TRICARBOXYLIC_ACID_CYCLE_HETEROMERIC_ENZYME_COMPLEX	rdfs:label		msigdb
GOCC_SPERM_MIDPIECE	msigdb:M17503	GOCC_SPERM_MIDPIECE	rdfs:label		msigdb
MODULE_539	msigdb:M17504	MODULE_539	rdfs:label		msigdb
GOCC_SECRETORY_GRANULE_MEMBRANE	msigdb:M17505	GOCC_SECRETORY_GRANULE_MEMBRANE	rdfs:label		msigdb
MILI_PSEUDOPODIA	msigdb:M17507	MILI_PSEUDOPODIA	rdfs:label	pubmed:18451862	msigdb
USF2_Q6	msigdb:M17508	USF2_Q6	rdfs:label		msigdb
MODULE_438	msigdb:M17509	MODULE_438	rdfs:label		msigdb
ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_DN	msigdb:M1751	ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_DN	rdfs:label	pubmed:17237761	msigdb
GOCC_POLE_PLASM	msigdb:M17510	GOCC_POLE_PLASM	rdfs:label		msigdb
HNF3_Q6	msigdb:M17512	HNF3_Q6	rdfs:label		msigdb
GOCC_TRANSPORTER_COMPLEX	msigdb:M17513	GOCC_TRANSPORTER_COMPLEX	rdfs:label		msigdb
GOCC_SIDE_OF_MEMBRANE	msigdb:M17514	GOCC_SIDE_OF_MEMBRANE	rdfs:label		msigdb
GOCC_PHOTORECEPTOR_CONNECTING_CILIUM	msigdb:M17515	GOCC_PHOTORECEPTOR_CONNECTING_CILIUM	rdfs:label		msigdb
GOCC_OUTER_KINETOCHORE	msigdb:M17516	GOCC_OUTER_KINETOCHORE	rdfs:label		msigdb
WU_HBX_TARGETS_2_DN	msigdb:M17517	WU_HBX_TARGETS_2_DN	rdfs:label	pubmed:11439330	msigdb
GOCC_CLATHRIN_COATED_VESICLE_MEMBRANE	msigdb:M17518	GOCC_CLATHRIN_COATED_VESICLE_MEMBRANE	rdfs:label		msigdb
GOCC_MEMBRANE_PROTEIN_COMPLEX	msigdb:M17519	GOCC_MEMBRANE_PROTEIN_COMPLEX	rdfs:label		msigdb
VANHARANTA_UTERINE_FIBROID_WITH_7Q_DELETION_UP	msigdb:M1752	VANHARANTA_UTERINE_FIBROID_WITH_7Q_DELETION_UP	rdfs:label	pubmed:15940248	msigdb
GOBP_CHEMICAL_HOMEOSTASIS	msigdb:M17520	GOBP_CHEMICAL_HOMEOSTASIS	rdfs:label		msigdb
GOCC_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK	msigdb:M17522	GOCC_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK	rdfs:label		msigdb
ZHAN_MULTIPLE_MYELOMA_CD2_DN	msigdb:M17523	ZHAN_MULTIPLE_MYELOMA_CD2_DN	rdfs:label	pubmed:16728703	msigdb
MODULE_69	msigdb:M17524	MODULE_69	rdfs:label		msigdb
GOCC_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX	msigdb:M17527	GOCC_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX	rdfs:label		msigdb
GOCC_SCHMIDT_LANTERMAN_INCISURE	msigdb:M17528	GOCC_SCHMIDT_LANTERMAN_INCISURE	rdfs:label		msigdb
GOCC_SEMAPHORIN_RECEPTOR_COMPLEX	msigdb:M17529	GOCC_SEMAPHORIN_RECEPTOR_COMPLEX	rdfs:label		msigdb
ZHENG_FOXP3_TARGETS_UP	msigdb:M1753	ZHENG_FOXP3_TARGETS_UP	rdfs:label	pubmed:17237761	msigdb
GOCC_AXON_CYTOPLASM	msigdb:M17530	GOCC_AXON_CYTOPLASM	rdfs:label		msigdb
GOCC_MIDBODY	msigdb:M17533	GOCC_MIDBODY	rdfs:label		msigdb
LEE_DOUBLE_POLAR_THYMOCYTE	msigdb:M17534	LEE_DOUBLE_POLAR_THYMOCYTE	rdfs:label	pubmed:15210650	msigdb
chr1p35	msigdb:M17536	chr1p35	rdfs:label		msigdb
JI_RESPONSE_TO_FSH_DN	msigdb:M17537	JI_RESPONSE_TO_FSH_DN	rdfs:label	pubmed:15386376	msigdb
GOCC_HETEROCHROMATIN	msigdb:M17538	GOCC_HETEROCHROMATIN	rdfs:label		msigdb
ZHENG_FOXP3_TARGETS_DN	msigdb:M1754	ZHENG_FOXP3_TARGETS_DN	rdfs:label	pubmed:17237761	msigdb
GOCC_CHROMOCENTER	msigdb:M17540	GOCC_CHROMOCENTER	rdfs:label		msigdb
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	msigdb:M17541	REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	rdfs:label		msigdb
GOCC_SARCOPLASM	msigdb:M17544	GOCC_SARCOPLASM	rdfs:label		msigdb
GOCC_SPLICEOSOMAL_COMPLEX	msigdb:M17545	GOCC_SPLICEOSOMAL_COMPLEX	rdfs:label		msigdb
GOCC_PHOSPHATIDYLINOSITOL_3_KINASE_COMPLEX	msigdb:M17549	GOCC_PHOSPHATIDYLINOSITOL_3_KINASE_COMPLEX	rdfs:label		msigdb
SANSOM_APC_TARGETS	msigdb:M1755	SANSOM_APC_TARGETS	rdfs:label	pubmed:17377531	msigdb
GOCC_INTRACILIARY_TRANSPORT_PARTICLE_B	msigdb:M17550	GOCC_INTRACILIARY_TRANSPORT_PARTICLE_B	rdfs:label		msigdb
GOCC_IMMUNOGLOBULIN_COMPLEX	msigdb:M17554	GOCC_IMMUNOGLOBULIN_COMPLEX	rdfs:label		msigdb
GOCC_SNO_S_RNA_CONTAINING_RIBONUCLEOPROTEIN_COMPLEX	msigdb:M17555	GOCC_SNO_S_RNA_CONTAINING_RIBONUCLEOPROTEIN_COMPLEX	rdfs:label		msigdb
GOCC_SMN_SM_PROTEIN_COMPLEX	msigdb:M17556	GOCC_SMN_SM_PROTEIN_COMPLEX	rdfs:label		msigdb
DANG_MYC_TARGETS_DN	msigdb:M17557	DANG_MYC_TARGETS_DN	rdfs:label	pubmed:14519204	msigdb
MODULE_55	msigdb:M17558	MODULE_55	rdfs:label		msigdb
GOCC_RECEPTOR_COMPLEX	msigdb:M17559	GOCC_RECEPTOR_COMPLEX	rdfs:label		msigdb
SANSOM_APC_MYC_TARGETS	msigdb:M1756	SANSOM_APC_MYC_TARGETS	rdfs:label	pubmed:17377531	msigdb
GOCC_INTRACILIARY_TRANSPORT_PARTICLE	msigdb:M17560	GOCC_INTRACILIARY_TRANSPORT_PARTICLE	rdfs:label		msigdb
GOCC_ANCHORING_JUNCTION	msigdb:M17561	GOCC_ANCHORING_JUNCTION	rdfs:label		msigdb
GOCC_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR	msigdb:M17563	GOCC_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR	rdfs:label		msigdb
GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT_MEMBRANE	msigdb:M17564	GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT_MEMBRANE	rdfs:label		msigdb
GOCC_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	msigdb:M17565	GOCC_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	rdfs:label		msigdb
GOCC_GAMMA_TUBULIN_COMPLEX	msigdb:M17566	GOCC_GAMMA_TUBULIN_COMPLEX	rdfs:label		msigdb
GOCC_PRESYNAPTIC_ACTIVE_ZONE	msigdb:M17568	GOCC_PRESYNAPTIC_ACTIVE_ZONE	rdfs:label		msigdb
GOBP_PROTEOLYSIS	msigdb:M17569	GOBP_PROTEOLYSIS	rdfs:label		msigdb
SANSOM_APC_TARGETS_REQUIRE_MYC	msigdb:M1757	SANSOM_APC_TARGETS_REQUIRE_MYC	rdfs:label	pubmed:17377531	msigdb
GOCC_EXOCYST	msigdb:M17570	GOCC_EXOCYST	rdfs:label		msigdb
SMID_BREAST_CANCER_LUMINAL_B_DN	msigdb:M17572	SMID_BREAST_CANCER_LUMINAL_B_DN	rdfs:label	pubmed:18451135	msigdb
GOCC_PODOSOME	msigdb:M17573	GOCC_PODOSOME	rdfs:label		msigdb
GOCC_CILIARY_BASE	msigdb:M17574	GOCC_CILIARY_BASE	rdfs:label		msigdb
GOCC_AUTOPHAGOSOME_MEMBRANE	msigdb:M17575	GOCC_AUTOPHAGOSOME_MEMBRANE	rdfs:label		msigdb
GOCC_DYNEIN_COMPLEX	msigdb:M17577	GOCC_DYNEIN_COMPLEX	rdfs:label		msigdb
GOCC_CARBOXY_TERMINAL_DOMAIN_PROTEIN_KINASE_COMPLEX	msigdb:M17579	GOCC_CARBOXY_TERMINAL_DOMAIN_PROTEIN_KINASE_COMPLEX	rdfs:label		msigdb
SANSOM_WNT_PATHWAY_REQUIRE_MYC	msigdb:M1758	SANSOM_WNT_PATHWAY_REQUIRE_MYC	rdfs:label	pubmed:17377531	msigdb
GOCC_DESMOSOME	msigdb:M17581	GOCC_DESMOSOME	rdfs:label		msigdb
GOCC_RECYCLING_ENDOSOME_MEMBRANE	msigdb:M17582	GOCC_RECYCLING_ENDOSOME_MEMBRANE	rdfs:label		msigdb
GOCC_ORGANELLE_ENVELOPE_LUMEN	msigdb:M17583	GOCC_ORGANELLE_ENVELOPE_LUMEN	rdfs:label		msigdb
GOCC_GOLGI_TRANSPORT_COMPLEX	msigdb:M17585	GOCC_GOLGI_TRANSPORT_COMPLEX	rdfs:label		msigdb
RFX1_01	msigdb:M17588	RFX1_01	rdfs:label		msigdb
ATCTTGC_MIR31	msigdb:M17589	ATCTTGC_MIR31	rdfs:label		msigdb
WANG_LSD1_TARGETS_UP	msigdb:M1759	WANG_LSD1_TARGETS_UP	rdfs:label	pubmed:17392792	msigdb
GOCC_RIBOSOMAL_SUBUNIT	msigdb:M17590	GOCC_RIBOSOMAL_SUBUNIT	rdfs:label		msigdb
GOCC_CIS_GOLGI_NETWORK	msigdb:M17593	GOCC_CIS_GOLGI_NETWORK	rdfs:label		msigdb
GNF2_MCM4	msigdb:M17594	GNF2_MCM4	rdfs:label		msigdb
E2A_Q2	msigdb:M17596	E2A_Q2	rdfs:label		msigdb
GOCC_INHIBITORY_SYNAPSE	msigdb:M17597	GOCC_INHIBITORY_SYNAPSE	rdfs:label		msigdb
GOCC_MICROTUBULE_END	msigdb:M17598	GOCC_MICROTUBULE_END	rdfs:label		msigdb
PID_FOXM1_PATHWAY	msigdb:M176	PID_FOXM1_PATHWAY	rdfs:label	pubmed:18832364	msigdb
WANG_LSD1_TARGETS_DN	msigdb:M1760	WANG_LSD1_TARGETS_DN	rdfs:label	pubmed:17392792	msigdb
NAGASHIMA_NRG1_SIGNALING_DN	msigdb:M17600	NAGASHIMA_NRG1_SIGNALING_DN	rdfs:label	pubmed:17142811	msigdb
GOCC_AXOLEMMA	msigdb:M17604	GOCC_AXOLEMMA	rdfs:label		msigdb
DER_IFN_BETA_RESPONSE_DN	msigdb:M17607	DER_IFN_BETA_RESPONSE_DN	rdfs:label	pubmed:9861020	msigdb
